Variable Name,Description,,,
crash_locn1,"Part 1 of the 'crash location' (crash_locn). May be a road name, route position (RP), landmark, or other, e.g. 'Ninety Mile Beach'. Used for location descriptions in reports etc.",,,
crash_locn2,"Part 2 of the 'crash location' (crash_locn). May be a side road name, landmark etc. Used for location descriptions in reports etc.",,,
outdtd_locn_desc,"Indicates if the location  for this crash is an 'Outdated Location'(outdtd_locn) or 'Current location'. A crash is said to have an 'Outdated location' where  the road might have moved, or does not exist anymore. ",,,
crash_rp_rs,The 'reference station' (RS) for the 'route position' (RP) of a crash.,,,
intersection,"Indicate if a crash happened at an 'Intersection', 'At Landmark' or 'Unknown'.",,,
junction_type,"The type of junction the crash happened at. Possible road junctions include ‘Driveway’, ‘Roundabout’, ‘X Type Junction’, 'T Type Junction', 'Y Type Junction', or 'Multi Road Join'. The junction type may also be unknown. Note crashes that did not occur at a junction are also given a value of unknown. ",,,
cr_rd_side_rd,Indicates whether the principal vehicle in a crash was on the crash road (cr_rd) [1] or side road (sd_rd) [2] at the time of the crash. Note that 'on side road' (2)  can only happen if the crash occurred at an intersection.,,,
crash_dirn_desc,"The direction (dirn) of the crash from the reference point. Values possible are 'North', 'East', 'South' or 'West'.",,,
crash_dist,The distance (dist) of the crash from the reference point for the crash. The reference point is often the intersection of 'crash road' and 'side road' (refer to 'cr_rd_sd_rd' variable).,,,
crash_rp_dirn_desc,"Indicates the direction of travel (where known) on a State Highway (SH) with respect to the highway origin. Possible values include 'Increasing' where the crash occurred in increasing distance from SH origin, 'Decreasing' where the crash occurred in decreasing distance to the SH origin, or blank. ",,,
dirn_role1_desc,"The direction (dirn) of the principal vehicle involved in the crash. Possible values are North, South, East or West.",,,
crash_rp_disp,The displacement (disp) of the crash from a reference station (RS). Part of the crash route position (RP).,,,
crash_sh_desc,"Indicates where a crash is reported to have occurred on a State Highway (SH). Possible values include 'Yes' where the crash occurred on a SH, otherwise 'No'.",,,
crash_rp_sh,The State Highway (SH) on which a crash occurred. This is part of a 'route position' (RP) for the crash. Possible values can be any valid natural SH designation reference (e.g. '1N' is SH1 in the North Island.).,,, 
crash_rp_news_desc,"Where the crash occurred on a median-divided State Highway (SH), this flag indicates which side of the median the crash happened. Values 'Northbound', 'Southbound, 'Eastbound' or 'Westbound'.",,,
intsn_midblock,"A derived variable to indicate if a crash occured at an intersection (intsn) or not. The 'intsn_midblock' variable is calculated using the 'intersection' and 'junction_type' variables. Values are  'Intersection' (where intersection variable = 'Intersection' or {'Intersection' = 'At Landmark' and junction_type is not in ('Unknown' or 'Driveway')} OR {Intersection = 'Unknown' and crash_dist <= 10}), otherwise 'Midblock' for crashes not meeting the criteria for 'Intersection').",,, 
flat_hill,Whether the road is flat or sloped. Possible values include 'Flat or 'Hill'.,,, 
road_character,"The general nature of the road. Possible values include 'Bridge', 'Motorway Ramp', 'Railway Crossing' or  ' Unknown'.",,, 
road_curvature,"The curvature of the road. Possible values include 'Straight Road', 'Easy Curve', 'Moderate Curve' or 'Severe curve'.",,, 
road_lane,"The lane configuration of the road. Possible values : '1' (one way), '2' (two way), 'M' (for where a median exists), 'O' (for off-road lane configuations), ' ' ( for unknown or invalid configuarations).",,, 
road_markings,"The road markings at the crash site. Possible values: 'Ped Crossing' (for pedestrian crossings), 'Raised Island', 'Painted Island', 'No Passing Lanes', 'Centre Line', 'No Marks' or ' Unknown'.",,,
road_surface,The road surface description applying at the crash site. Possible values: 'Sealed' or 'Unsealed'.,,,
road_wet,"The road wetness at the time and place of the crash. Possible values: 'Wet', 'Dry', 'Ice/Snow' or 'Unknown'",,,
num_lanes,The number(num) of lanes on the crash road.,,,
traffic_ctrl,"The traffic control (ctrl) signals at the crash site. Possible values are 'Traffic Signals', 'Stop Sign', 'Give Way Sign', 'Pointsman', 'School Patrol', 'Nil' or ' N/A'.",,,
spd_lim,"The speed (spd) limit (lim)  in force at the crash site at the time of the crash. May be a number, or 'LSZ' for a limited speed zone.",,,
adv_spd,The advisory (adv) speed (spd) at the crash site at the time of the crash.,,,
tmp_spd_lim,The temporary (temp) speed (spd) limit (lim) at the crash site if one exists (e.g. for road works).,,,
urban,"A derived variable using the 'spd_lim' variable. Possible values are 'Urban' (urban, spd_lim < 80) or 'Open Road' (open road, spd_lim >=80 or 'LSZ').",,,
dark_light,"A variable derived from the 'light' variable. Values 'Dark' (if  'light' = 'Dark' or 'Twilight'), 'Light' ( 'light' = 'Bright', 'Overcast') or ' Unknown'  (light = ' ').",,,
light,"The light at the time and place of the crash. Possible values: 'Bright Sun', 'Overcast', 'Twilight, 'Dark' or ' Unknown'.",,,
street_light,"The street lighting at the time of the crash. Possible values 'On', 'Off', 'None' or ' Unknown'.",,,
weather_a,"Indicates weather at the crash time/place. See wthr_b. Values that are possible are 'Fine', 'Mist', 'Light Rain', 'Heavy Rain', 'Snow', 'Unknown'.",,,
weather_b,"The weather at the crash time/place. See weather_a. Values 'Frost', 'Strong Wind' or 'Unknown'.",,,
Animals,"Derived variable to indicate how many times an 'Animal(s)'  was struck in the crash. This is used where the animals, being driven or led, were under control.",,,
Bridge,"Derived variable to indicate how many times a bridge, tunnel, the abutments, handrails were struck in the crash.",,,
Cliff_Bank,Derived variable to indicate how many times a 'cliff' or 'bank' was struck in the crash. This includes retaining walls,,,
Debris,"Derived variable to indicate how many times debris, boulders or items dropped or thrown from a vehicle(s) were struck in the crash ",,,
Ditch,Derived variable to indicate how many times a 'ditch' or 'waterable drainage channel' was struck in a crash.,,,
Fence,"Derived variable to indicate how many times a 'fence' was struck in the crash. This includes letterbox(es), hoardings, private roadside furniture, hedges, sight rails, etc.",,,
Guard_Rail,"Derived variable to indicate how many times a guard or guard rail was struck in the crash. This includes 'New Jersey' barriers, 'ARMCO', sand filled barriers, wire catch fences, etc.",,,
House_Or_Bldg,"Derived variable to indicate how many times a houses, garages, sheds or other buildings(Bldg) were struck in the crash",,,
Kerb,"Derived variable to indicate how many times a kerb was struck in the crash, that contributed directly to the crash. ",,,
Obj_Thrown_Dropped,Derived variable to indicate how many times objects were thrown at or dropped on vehicles in the crash. ,,,
Other,"Derived variable to indicate how many times an object was struck in a crash and the object struck was not pre-defined. This variable includes stockpiled materials, rubbish bins, fallen poles, fallen trees, etc.",,,
Over_Bank,Derived variable to indicate how many times an embankment was struck or driven over during a crash. This variable includes other vertical drops driven over during a crash.,,,
Parked_Vehicle,Derived variable to indicate how many times a parked or unattended vehicle was struck in the crash. This variable can include trailers.,,,
Phone_Box_Etc,"Derived variable to indicate how many times a telephone kiosk traffic signal controllers, bus shelters or other public furniture was struck in the crash",,,
Post_Or_Pole,"Derived variable to indicate how many times a post or pole was struck in the crash. This includes light, power, phone, utility poles and objects practically forming part of a pole (i.e. 'Transformer Guy' wires)",,,
Roadworks,"Derived variable to indicate how many times an object associated with 'roadworks' (including signs, cones, drums, barriers, but not roadwork vehicles) was struck during the crash",,,
Slip_Or_Flood,"Derived variable to indicate how many times landslips, washouts or floods (excluding rivers) were objects struck in the crash",,,
Stray_Animal,"Derived variable to indicate how many times a stray animal(s) was struck in the crash. This variable includes wild animals such as pigs, goats, deer, straying farm animals, house pets and birds.",,,
Traffic_Island,"Derived variable to indicate how many times a traffic island, medians (excluding barriers)was struck in the crash.",,,
Traffic_Sign,"Derived variable to indicate how many times 'traffic signage' (including traffic signals, their poles, bollards or roadside delineators) was struck in the crash.",,,
Train,"Derived variable to indicate how many times a train, rolling stock or jiggers was struck in the crash, whether stationary or moving",,,
Trees,Derived variable to indicate how many times trees or other growing items were struck during the crash. ,,,
Vehicle,"Derived variable to indicate how many times a stationary attended vehicle was struck in the crash. This includes broken down vehicles, workmen's vehicles, taxis, buses.",,,
Water_River,"Derived variable to indicate how many times a body of water (including rivers, streams, lakes, the sea, tidal flates, canals, watercourses or swanps) was struck in the crash.",,,
BICYCLE,Derived variable to indicate how many bicycles were involved in the crash.,,,
BUS,Derived variable to indicate how many buses were involved in the crash (excluding school buses which are counted in the SCHOOL_BUS field).,,,
CAR_STN_WAGON,Derived variable to indicate how many cars or station wagons were involved in the crash.,,,
MOPED,Derived variable to indicate how many mopeds were involved in the crash.,,,
MOTOR_CYCLE,Derived variable to indicate how many motorcycles were involved in the crash.,,,
OTHER_VEHICLE_TYPE,Derived variable to indicate how many other vehicles (not included in any other category) were involved in the crash.,,,
SCHOOL_BUS,Derived variable to indicate how many school buses were involved in the crash.,,,
SUV,Derived variable to indicate how many SUVs were involved in the crash.,,,
TAXI,Derived variable to indicate how many taxis were involved in the crash.,,,
TRUCK,Derived variable to indicate how many trucks were involved in the crash.,,,
UNKNOWN_VEHICLE_TYPE,Derived variable to indicate how many vehicles were involved in the crash (where the vehicle type is unknown).,,,
VAN_OR_UTILITY,Derived variable to indicate how many vans or utes were involved in the crash.,,,
PEDESTRIAN,Derived variable to indicate how many pedestrians were involved in the crash. This includes pedestrians on foot, skateboards, scooters and wheelchairs.,,,
